,time,degree,20,15,10,5,0
0,0,30,0,0,0,0,0
1,3,30,0.208,0.196,0.205,0.196,0.201
2,6,30,0.316,0.307,0.313,0.307,0.311
3,9,30,0.368,0.361,0.366,0.36,0.364
4,12,30,0.4,0.394,0.398,0.394,0.397
5,15,30,0.422,0.417,0.42,0.417,0.419
6,18,30,0.438,0.434,0.437,0.434,0.436
7,21,30,0.438,0.434,0.437,0.434,0.434
8,24,30,0.55,0.539,0.51,0.502,0.434
9,27,32,0.66,0.629,0.597,0.565,0.434
10,30,35,0.698,0.664,0.597,0.589,0.434
11,33,38,0.721,0.686,0.648,0.6,0.434
12,36,41,0.741,0.703,0.661,0.607,0.434
13,39,44,0.758,0.719,0.673,0.612,0.434
14,42,47,0.777,0.735,0.685,0.612,0.434
15,45,50,0.796,0.753,0.7,0.624,0.434
16,48,53,0.815,0.772,0.717,0.634,0.434
17,51,56,0.834,0.791,0.735,0.646,0.434
18,54,59,0.849,0.809,0.753,0.66,0.434
19,57,60,0.863,0.826,0.773,0.679,0.434
20,60,60,0.875,0.842,0.793,0.7,0.434
21,63,60,0.883,0.853,0.808,0.72,0.434
22,66,60,0.888,0.861,0.82,0.737,0.434
23,69,60,0.892,0.867,0.829,0.751,0.434
24,72,60,0.895,0.871,0.836,0.762,0.434
25,75,60,0.897,0.875,0.841,0.772,0.434
26,78,60,0.899,0.877,0.845,0.78,0.434
27,81,60,0.9,0.879,0.849,0.787,0.434
28,84,60,0.901,0.88,0.851,0.793,0.434
29,87,60,0.902,0.882,0.853,0.797,0.434
30,90,60,0.903,0.883,0.855,0.802,0.434
31,93,60,0.904,0.884,0.857,0.805,0.434
32,96,60,0.904,0.885,0.858,0.808,0.434
33,99,60,0.905,0.886,0.859,0.811,0.434
34,102,60,0.905,0.887,0.86,0.813,0.434
35,105,60,0.906,0.887,0.861,0.815,0.434
36,108,60,0.906,0.888,0.862,0.817,0.434
37,111,60,0.906,0.888,0.863,0.818,0.434
38,114,60,0.907,0.889,0.863,0.82,0.434
39,117,60,0.907,0.889,0.864,0.821,0.434
40,120,60,0.908,0.89,0.864,0.822,0.434
